Seconds,Value,Value.Seconds,Value.SubSeconds,Value.Value
13949.74,8274D_21293_EEG1,1744121554,0.549917996,-3.99076009
13949.742976,8274D_21293_EEG1,1744121554,0.553837001,-0.469500989
13949.742976,8274D_21293_EEG1,1744121554,0.557756007,-0.469500989
13949.742976,8274D_21293_EEG1,1744121554,0.561676025,4.69501209
13949.742976,8274D_21293_EEG1,1744121554,0.565594971,8.2162714
13949.742976,8274D_21293_EEG1,1744121554,0.56951499,4.69501209
13949.742976,8274D_21293_EEG1,1744121554,0.573433995,-11.9722815
13949.742976,8274D_21293_EEG1,1744121554,0.577353001,-11.9722815
13949.742976,8274D_21293_EEG1,1744121554,0.581273019,-10.0942764
13949.742976,8274D_21293_EEG1,1744121554,0.585192025,4.46026087
13949.742976,8274D_21293_EEG1,1744121554,0.589111984,-6.3382659
13949.744000000001,8274D_21293_EEG1,1744121554,0.593030989,3.28650808
13949.744000000001,8274D_21293_EEG1,1744121554,0.596949995,-6.3382659
13949.744000000001,8274D_21293_EEG1,1744121554,0.600870013,-4.92976284
13949.744000000001,8274D_21293_EEG1,1744121554,0.604789019,-4.92976284
13949.744000000001,8274D_21293_EEG1,1744121554,0.608708978,-2.34750605
13949.744000000001,8274D_21293_EEG1,1744121554,0.612627983,-2.34750605
13949.744000000001,8274D_21293_EEG1,1744121554,0.616546988,-2.34750605
13949.744000000001,8274D_21293_EEG1,1744121554,0.620467007,-6.3382659
13949.744992,8274D_21293_EEG1,1744121554,0.624386013,-0.939001977
13949.744992,8274D_21293_EEG1,1744121554,0.628305972,-6.3382659
13949.744992,8274D_21293_EEG1,1744121554,0.632224977,-19.0147991
13949.744992,8274D_21293_EEG1,1744121554,0.636143982,-19.0147991
13949.744992,8274D_21293_EEG1,1744121554,0.640064001,1.17375302
13949.744992,8274D_21293_EEG1,1744121554,0.643983006,4.46026087
13949.744992,8274D_21293_EEG1,1744121554,0.647903025,1.17375302
13949.744992,8274D_21293_EEG1,1744121554,0.651821971,-13.6155348
13949.744992,8274D_21293_EEG1,1744121554,0.655740976,-14.319787
13949.745983999999,8274D_21293_EEG1,1744121554,0.659660995,-14.319787
13949.745983999999,8274D_21293_EEG1,1744121554,0.66358,1.87800503
13949.745983999999,8274D_21293_EEG1,1744121554,0.667499006,1.87800503
13949.745983999999,8274D_21293_EEG1,1744121554,0.671419024,-7.27726889
13949.745983999999,8274D_21293_EEG1,1744121554,0.67533797,-7.27726889
13949.745983999999,8274D_21293_EEG1,1744121554,0.679257989,-6.57301712
